 voicetext_paul.  112937 [006] 42895.288629:          1  branches:u:          10065853 [unknown] (/samples/vt_pau.dll) =>         10065847 [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42895.288629:          1  branches:u:          10065853 [unknown] (/samples/vt_pau.dll) =>         10065847 [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42895.288629:          1  branches:u:          10065853 [unknown] (/samples/vt_pau.dll) =>         10065847 [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42895.288629:          1  branches:u:          10065853 [unknown] (/samples/vt_pau.dll) =>         10065847 [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42895.288629:          1  branches:u:          10065853 [unknown] (/samples/vt_pau.dll) =>         10065847 [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42895.288629:          1  branches:u:          10065853 [unknown] (/samples/vt_pau.dll) =>         10065847 [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42895.288629:          1  branches:u:          10065853 [unknown] (/samples/vt_pau.dll) =>         10065847 [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42895.288629:          1  branches:u:          10065853 [unknown] (/samples/vt_pau.dll) =>         10065847 [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42895.288629:          1  branches:u:          10065853 [unknown] (/samples/vt_pau.dll) =>         10065847 [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42895.288629:          1  branches:u:          10065853 [unknown] (/samples/vt_pau.dll) =>         10065847 [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42895.288629:          1  branches:u:          10065851 [unknown] (/samples/vt_pau.dll) =>         10065856 [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42895.288629:          1  branches:u:          10065858 [unknown] (/samples/vt_pau.dll) =>         10065a05 [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42895.288629:          1  branches:u:          10065a18 [unknown] (/samples/vt_pau.dll) =>         10065a40 [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42895.288629:          1  branches:u:          10065a58 [unknown] (/samples/vt_pau.dll) =>         10065b87 [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42895.288629:          1  branches:u:          10065b92 [unknown] (/samples/vt_pau.dll) =>         10065bb5 [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42895.288629:          1  branches:u:          10065bb7 [unknown] (/samples/vt_pau.dll) =>         10065a5d [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42895.288629:          1  branches:u:          10065a6e [unknown] (/samples/vt_pau.dll) =>         10065bb8 [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42895.288629:          1  branches:u:          10065bc4 [unknown] (/samples/vt_pau.dll) =>         10065bec [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42895.288629:          1  branches:u:          10065bef [unknown] (/samples/vt_pau.dll) =>         10065a73 [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42895.288629:          1  branches:u:          10065a79 [unknown] (/samples/vt_pau.dll) =>         10065a92 [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42895.288629:          1  branches:u:          10065a96 [unknown] (/samples/vt_pau.dll) =>         10065ad9 [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42895.288629:          1  branches:u:          10065ae6 [unknown] (/samples/vt_pau.dll) =>         10065bb8 [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42895.288629:          1  branches:u:          10065bd8 [unknown] (/samples/vt_pau.dll) =>         10065b52 [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42895.288630:          1  branches:u:          10065b62 [unknown] (/samples/vt_pau.dll) =>                0 [unknown] ([unknown])
 voicetext_paul.  112937 [006] 42895.288630:          1  branches:u:          10065b69 [unknown] (/samples/vt_pau.dll) =>         10065b76 [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42895.288630:          1  branches:u:          10065b7c [unknown] (/samples/vt_pau.dll) =>         10065b83 [unknown] (/samples/vt_pau.dll)
